workspace,slug,name,language,project,is_active,updated_on,created_on,has_pipeline,open_prs,merged_30d
syscolabs,hdbc-proxy,hdbc-proxy,unknown,Environment Configs Archive,False,2024-04-12T10:59:54.275269+00:00,2018-07-23T09:35:31.508390+00:00,,,
syscolabs,help,help,unknown,Environment Configs Archive,False,2024-04-12T10:59:56.242872+00:00,2018-07-23T09:37:25.758626+00:00,,,
syscolabs,idm_dtool,idm_dtool,unknown,Environment Configs Archive,False,2024-04-12T11:00:00.165426+00:00,2018-07-23T09:45:16.496882+00:00,,,
syscolabs,insights-reportingapi,insights-reportingapi,unknown,Environment Configs Archive,False,2024-04-12T11:00:02.691472+00:00,2018-07-23T09:46:24.384115+00:00,,,
syscolabs,insights-reportportal,insights-reportportal,unknown,Environment Configs Archive,False,2024-04-12T11:00:04.961054+00:00,2018-07-23T09:48:30.319545+00:00,,,
syscolabs,insights_dtool,insights_dtool,unknown,Environment Configs Archive,False,2024-04-12T11:00:07.091839+00:00,2018-07-23T10:13:00.890268+00:00,,,
syscolabs,job-api,job-api,unknown,Environment Configs,False,2024-02-20T10:55:54.003299+00:00,2018-07-23T10:13:30.978128+00:00,,,
syscolabs,ldp-api,ldp-api,unknown,Environment Configs,False,2024-06-24T10:48:22.372634+00:00,2018-07-23T10:16:29.759242+00:00,,,
syscolabs,payroll-api,payroll-api,unknown,Environment Configs,False,2023-10-18T06:26:39.085109+00:00,2018-07-23T10:25:52.234859+00:00,,,
syscolabs,management,management,unknown,Environment Configs Archive,False,2024-04-12T11:00:41.910984+00:00,2018-07-23T10:30:02.321474+00:00,,,
syscolabs,payment-api,payment-api,unknown,Environment Configs,False,2025-05-08T10:22:15.320079+00:00,2018-07-23T10:32:42.746510+00:00,,,
syscolabs,payment-admin-api,payment-admin-api,unknown,Environment Configs Archive,False,2024-04-12T11:01:35.691985+00:00,2018-07-23T10:34:00.592480+00:00,,,
syscolabs,pay_onboard_frontend,pay_onboard_frontend,unknown,Environment Configs Archive,False,2024-04-12T11:01:33.648721+00:00,2018-07-23T10:35:35.782467+00:00,,,
syscolabs,pay_onboard_backend,pay_onboard_backend,unknown,Environment Configs Archive,False,2024-04-12T11:01:31.402234+00:00,2018-07-23T10:37:44.722487+00:00,,,
syscolabs,operator-api,operator-api,unknown,Environment Configs,False,2025-11-05T13:15:55.129210+00:00,2018-07-23T10:38:54.781339+00:00,,,
syscolabs,menu,menu,unknown,Environment Configs Archive,False,2024-04-12T11:00:50.087976+00:00,2018-07-23T10:45:21.019399+00:00,,,
syscolabs,mdr,mdr,unknown,Environment Configs Archive,False,2024-04-12T11:00:47.497223+00:00,2018-07-23T10:46:39.818538+00:00,,,
syscolabs,mcadmin,mcadmin,unknown,Environment Configs,False,2021-05-11T08:51:46.997300+00:00,2018-07-23T10:47:37.394688+00:00,,,
syscolabs,mc-api,mc-api,unknown,Environment Configs Archive,False,2024-04-12T11:00:44.335589+00:00,2018-07-23T10:48:55.117342+00:00,,,
syscolabs,profile-api,profile-api,unknown,Environment Configs,False,2023-11-17T08:26:45.649613+00:00,2018-07-23T10:54:47.925862+00:00,,,
syscolabs,replicator,replicator,unknown,Environment Configs,False,2025-08-20T08:06:15.594999+00:00,2018-07-23T10:56:00.665513+00:00,,,
syscolabs,ec-reportsng,ec-reportsng,unknown,Environment Configs Archive,False,2024-04-12T10:59:29.532387+00:00,2018-07-23T11:02:05.194434+00:00,,,
syscolabs,cake_shop,cake_shop,unknown,Environment Configs,False,2023-10-24T13:10:04.164891+00:00,2018-07-23T11:10:23.665916+00:00,,,
syscolabs,cake_shop_api,cake_shop_api,unknown,Environment Configs,False,2023-10-24T13:57:12.656908+00:00,2018-07-23T11:12:37.000545+00:00,,,
syscolabs,salesforce-api,salesforce-api,unknown,Environment Configs Archive,False,2024-04-12T11:02:07.014679+00:00,2018-07-23T11:13:42.229583+00:00,,,
syscolabs,sandbox,sandbox,unknown,Environment Configs Archive,False,2024-04-12T11:02:09.326164+00:00,2018-07-23T11:14:46.716732+00:00,,,
syscolabs,scat_tool,scat_tool,unknown,Environment Configs,False,2023-10-26T05:29:05.220554+00:00,2018-07-23T11:16:13.601193+00:00,,,
syscolabs,scheduler,scheduler,unknown,Environment Configs,False,2024-07-01T03:40:56.550206+00:00,2018-07-23T11:17:42.185172+00:00,,,
syscolabs,ssp_backend,ssp_backend,unknown,Environment Configs Archive,False,2024-04-12T11:02:24.963995+00:00,2018-07-23T11:18:47.434373+00:00,,,
syscolabs,ssp_frontend,ssp_frontend,unknown,Environment Configs Archive,False,2024-04-12T11:02:27.582748+00:00,2018-07-23T11:20:14.659553+00:00,,,
syscolabs,superadmin,superadmin,unknown,Environment Configs,False,2025-12-09T12:45:36.785819+00:00,2018-07-23T11:21:27.778045+00:00,,,
syscolabs,time-sheet,time-sheet,unknown,Environment Configs Archive,False,2024-04-12T11:02:35.728288+00:00,2018-07-23T11:22:36.484052+00:00,,,
syscolabs,ua,ua,unknown,Environment Configs,False,2025-11-05T14:48:23.668053+00:00,2018-07-23T11:23:29.810350+00:00,,,
syscolabs,ua-container-boilerplate,ua-container-boilerplate,unknown,Environment Configs Archive,False,2024-04-12T11:02:41.617119+00:00,2018-07-23T11:25:41.713721+00:00,,,
syscolabs,ua-internal-admin,ua-internal-admin,unknown,Environment Configs Archive,False,2024-04-12T11:02:44.282839+00:00,2018-07-23T11:26:33.622949+00:00,,,
syscolabs,ua-jobassignment,ua-jobassignment,unknown,Environment Configs,False,2020-04-02T06:51:55.129291+00:00,2018-07-23T11:28:29.880222+00:00,,,
syscolabs,ua-mc,ua-mc,unknown,Environment Configs Archive,False,2024-04-12T11:02:47.001226+00:00,2018-07-23T11:29:28.166509+00:00,,,
syscolabs,ua-payroll,ua-payroll,unknown,Environment Configs,False,2024-12-16T05:45:41.565667+00:00,2018-07-23T11:30:56.731589+00:00,,,
syscolabs,ua-reports,ua-reports,unknown,Environment Configs,False,2025-12-29T09:18:26.642479+00:00,2018-07-23T11:33:07.087782+00:00,,,
syscolabs,ua-staff-container,ua-staff-container,unknown,Environment Configs,False,2025-03-25T08:30:40.624463+00:00,2018-07-23T11:34:31.328603+00:00,,,
syscolabs,ua-user-mgmt,ua-user-mgmt,unknown,Environment Configs,False,2024-01-09T10:05:58.958624+00:00,2018-07-23T11:36:16.223932+00:00,,,
syscolabs,communicator,communicator,unknown,Environment Configs,False,2024-12-02T05:06:25.474095+00:00,2018-07-23T11:42:30.117688+00:00,,,
syscolabs,comy_master,comy_master,unknown,Environment Configs Archive,False,2024-04-12T10:58:22.878845+00:00,2018-07-23T11:42:57.429740+00:00,,,
syscolabs,comy_slave,comy_slave,unknown,Environment Configs Archive,False,2024-04-12T10:58:27.886626+00:00,2018-07-23T11:43:24.187731+00:00,,,
syscolabs,payments-admin-api,payments-admin-api,unknown,Payment Gateway,True,2026-01-23T20:01:57.312712+00:00,2018-07-25T07:14:55.751192+00:00,,,
syscolabs,cake_olo_v3_and_wallet_portal,cake_olo_v3_and_wallet_portal,unknown,QA,False,2025-09-12T15:48:46.366283+00:00,2018-07-25T08:54:15.696854+00:00,,,
syscolabs,admin-gf,admin-GF,unknown,Gloria Food,True,2026-02-19T20:46:43.245415+00:00,2018-07-25T11:50:44.957560+00:00,,,
syscolabs,android_app,android_app,unknown,Gloria Food,False,2018-12-12T17:35:27.019731+00:00,2018-07-25T11:53:48.537797+00:00,,,
syscolabs,api_gf,api_gf,unknown,Gloria Food,False,2019-12-11T17:46:20.813791+00:00,2018-07-25T11:54:21.180289+00:00,,,
syscolabs,assets,assets,unknown,Gloria Food,False,2018-12-12T13:24:49.936380+00:00,2018-07-25T11:54:50.428044+00:00,,,
syscolabs,ios_app_gf,ios_app_gf,unknown,Gloria Food,False,2018-12-12T17:45:02.528837+00:00,2018-07-25T11:55:39.401371+00:00,,,
syscolabs,website,website,unknown,Gloria Food,False,2018-12-12T15:08:31.190865+00:00,2018-07-25T11:58:11.730200+00:00,,,
syscolabs,widget,widget,unknown,Gloria Food,True,2026-02-19T21:49:16.310265+00:00,2018-07-25T11:58:56.530500+00:00,,,
syscolabs,sanni-config-tool,sanni-config-tool,unknown,POS Tools,True,2026-02-13T08:47:08.065849+00:00,2018-07-26T06:49:12.174639+00:00,,,
syscolabs,elasticsearch-data-populator,elasticsearch-data-populator,unknown,Cloud Features,True,2026-02-12T13:56:00.762623+00:00,2018-07-30T07:40:56.350572+00:00,,,
syscolabs,ua-boilerplate,ua-boilerplate,unknown,Environment Configs Archive,False,2024-04-12T11:02:39.172301+00:00,2018-07-31T05:32:00.947893+00:00,,,
syscolabs,src-replicator_api,src-replicator_api,unknown,Cinco,False,2025-11-28T05:17:04.733945+00:00,2018-08-01T09:58:57.960788+00:00,,,
syscolabs,cache_api,cache_api,java,Platform,False,2019-01-15T07:10:31.087491+00:00,2018-08-03T04:57:23.338430+00:00,,,
syscolabs,relman,relman,unknown,Bifrost,False,2018-12-12T16:24:12.501661+00:00,2018-08-03T06:07:46.255323+00:00,,,
syscolabs,aws-ecs-poc,aws-ecs-poc,unknown,Phoenix,True,2026-02-20T02:23:19.743888+00:00,2018-08-09T08:57:40.245305+00:00,,,
syscolabs,team2,Team2,unknown,Intern Projects,True,2026-02-19T18:15:45.387523+00:00,2018-08-21T05:04:14.691146+00:00,,,
syscolabs,src-communicator,src-communicator,unknown,Platform,False,2024-04-02T16:38:42.653300+00:00,2018-08-21T06:52:39.616725+00:00,,,
syscolabs,candidate_manager_api,candidate_manager_api,unknown,Intern Projects,True,2026-03-06T10:09:08.617717+00:00,2018-08-23T07:23:31.509550+00:00,,,
syscolabs,candidate_manager_frontend,candidate_manager_frontend,unknown,Intern Projects,True,2026-03-06T10:09:35.611164+00:00,2018-08-23T07:27:04.721161+00:00,,,
syscolabs,oe-ms-skeleton,oe-ms-skeleton,unknown,Ops Engineering,True,2026-02-20T04:30:55.064858+00:00,2018-08-27T06:55:51.668429+00:00,,,
syscolabs,salesforce-ms,salesforce-ms,unknown,Ops Engineering,True,2026-02-19T21:14:00.821882+00:00,2018-08-27T06:56:52.923018+00:00,,,
syscolabs,sf_connector,sf_connector,unknown,Environment Configs,False,2023-09-14T09:34:53.644525+00:00,2018-08-28T08:31:30.317133+00:00,,,
syscolabs,menu_core_fe,menu_core_fe,unknown,QA,False,2019-10-02T07:12:10.196602+00:00,2018-08-31T10:09:22.857778+00:00,,,
syscolabs,cake_gm_old,cake_gm_old,unknown,QA,False,2018-08-31T11:31:39.522965+00:00,2018-08-31T11:31:39.448935+00:00,,,
syscolabs,releaserepo,releaserepo,unknown,Minuteman,True,2026-03-30T07:28:28.206599+00:00,2018-09-03T08:44:27.390978+00:00,,,
syscolabs,mysql-data-connector,mysql-data-connector,unknown,Payment Gateway,False,2019-08-07T09:28:24.091499+00:00,2018-09-11T06:23:30.620973+00:00,,,
syscolabs,insight-console,insight-console,unknown,Payment Gateway,True,2026-02-19T18:42:10.920531+00:00,2018-09-14T06:57:42.963043+00:00,,,
syscolabs,menu-core-api,menu-core-api,unknown,Environment Configs Archive,False,2024-04-12T11:00:57.942046+00:00,2018-09-14T13:01:42.501438+00:00,,,
syscolabs,mq-listener,mq-listener,unknown,Platform Utils,False,2025-06-26T16:38:21.772431+00:00,2018-09-21T10:59:26.223602+00:00,,,
syscolabs,menu-core-admin,menu-core-admin,unknown,Environment Configs Archive,False,2024-04-12T11:00:53.812169+00:00,2018-09-25T09:41:56.536215+00:00,,,
syscolabs,tft,tft,unknown,Cloud Services,False,2019-03-18T12:28:18.211206+00:00,2018-09-26T15:08:19.118735+00:00,,,
syscolabs,olo-v3,olo-v3,unknown,Environment Configs,False,2025-01-09T10:52:12.709132+00:00,2018-09-28T08:53:09.376575+00:00,,,
syscolabs,dev-minuteman,dev-minuteman,unknown,Environment Configs Archive,False,2024-04-12T10:59:04.964707+00:00,2018-10-02T08:02:05.706020+00:00,,,
syscolabs,cake_perf_training,cake_perf_training,unknown,QA,False,2018-10-05T06:32:47.237846+00:00,2018-10-03T10:38:24.067600+00:00,,,
syscolabs,dev-minuteman-prod,dev-minuteman-prod,unknown,Environment Configs Archive,False,2024-04-12T10:59:09.798436+00:00,2018-10-04T07:15:11.662471+00:00,,,
syscolabs,terraform-aws,terraform-aws,unknown,Cloud Services,False,2018-10-05T12:40:49.604617+00:00,2018-10-05T12:36:48.756092+00:00,,,
syscolabs,menu-preview,menu-preview,unknown,Environment Configs Archive,False,2024-04-12T11:01:06.444850+00:00,2018-10-08T10:30:34.266041+00:00,,,
syscolabs,cake-doctor,cake-doctor,unknown,SWAT,False,2018-12-12T16:11:21.087626+00:00,2018-10-10T04:56:01.041935+00:00,,,
syscolabs,testcloud,testcloud,unknown,Cloud Services,False,2018-10-15T06:34:48.166950+00:00,2018-10-15T06:34:48.091371+00:00,,,
syscolabs,chef,chef,unknown,Cloud Services,False,2018-10-16T18:24:39.243171+00:00,2018-10-16T18:24:39.156111+00:00,,,
