profile,account_id,month,service,cost
mm-forensics,040591922250,2026-01-03,AmazonCloudWatch,0.31
mm-forensics,040591922250,2026-02-01,AWS Config,0.07
mm-forensics,040591922250,2026-02-01,AWS Key Management Service,0.02
mm-forensics,040591922250,2026-02-01,Amazon GuardDuty,1.95
mm-forensics,040591922250,2026-02-01,Amazon Simple Storage Service,0.06
mm-forensics,040591922250,2026-02-01,Amazon Virtual Private Cloud,30.41
mm-forensics,040591922250,2026-03-01,AWS Config,0.08
mm-forensics,040591922250,2026-03-01,AWS Key Management Service,0.02
mm-forensics,040591922250,2026-03-01,Amazon GuardDuty,2.49
mm-forensics,040591922250,2026-03-01,Amazon Simple Storage Service,0.07
mm-forensics,040591922250,2026-03-01,Amazon Virtual Private Cloud,33.67
mm-forensics,040591922250,2026-03-01,AmazonCloudWatch,0.01
mm-forensics,040591922250,2026-04-01,Amazon GuardDuty,0.1
mm-forensics,040591922250,2026-04-01,Amazon Virtual Private Cloud,1.86
mm-madmobile-mgmt,302042158767,2026-01-03,AWS Backup,0.16
mm-madmobile-mgmt,302042158767,2026-01-03,AWS CloudTrail,267.64
mm-madmobile-mgmt,302042158767,2026-01-03,AWS CodeArtifact,14.83
mm-madmobile-mgmt,302042158767,2026-01-03,AWS Config,824.32
mm-madmobile-mgmt,302042158767,2026-01-03,AWS Cost Explorer,25.25
mm-madmobile-mgmt,302042158767,2026-01-03,AWS Data Pipeline,0.85
mm-madmobile-mgmt,302042158767,2026-01-03,AWS Directory Service,94.49
mm-madmobile-mgmt,302042158767,2026-01-03,AWS Elemental MediaConvert,0.02
mm-madmobile-mgmt,302042158767,2026-01-03,AWS Global Accelerator,62.9
mm-madmobile-mgmt,302042158767,2026-01-03,AWS Glue,2.54
mm-madmobile-mgmt,302042158767,2026-01-03,AWS HealthImaging,0.03
mm-madmobile-mgmt,302042158767,2026-01-03,AWS Key Management Service,189.02
mm-madmobile-mgmt,302042158767,2026-01-03,AWS Lambda,373.68
mm-madmobile-mgmt,302042158767,2026-01-03,AWS Secrets Manager,160.97
mm-madmobile-mgmt,302042158767,2026-01-03,AWS Security Hub,124.93
mm-madmobile-mgmt,302042158767,2026-01-03,AWS Systems Manager,0.09
mm-madmobile-mgmt,302042158767,2026-01-03,AWS Transfer Family,377.94
